"id","language","text","text_normalized","caesar","vigenere","sp_network","char_count"
"11","fr","Chaque homme est coupable du bien qu'il n'a pas fait","Chaque homme est coupable du bien qu'il n'a pas fait","Fkdtxh krpph hvw frxsdeoh gx elhq tx'lo q'd sdv idlw","Fwrkxt yipbv yvi tixervot uo exvh tj'zf q'p guv urcw","nbpGuv rcckv hiv ipilpruy ya qrzl ig'pj a'h axd miub","52"
"12","fr","On doit des égards aux vivants; on ne doit aux morts que la vérité","On doit des egards aux vivants; on ne doit aux morts que la verite","Rq grlw ghv hjdugv dxa ylydqwv; rq qh grlw dxa pruwv txh od yhulwh","Rc uili uyv txuusj uxm mcypenv; de hh sfcw plr pdinv fly op myuxky","vm vUac taa psiraa zmo hrowclq; fs il mqgu hfb twhvc ghi tc yocran","66"
"13","fr","J'aimais, Seigneur, j'aimais; je voulais être aimée","J'aimais, Seigneur, j'aimais; je voulais etre aimee","M'dlpdlv, Vhljqhxu, m'dlpdlv; mh yrxodlv hwuh dlphh","M'pzgdxj, Mhxxhhji, d'dxdulh; ay ydlfdxj ywgv ulbvy","d'hrOjOf, zqrzqrfq, v'arqffc; te gfrctcf zadk bicti","51"
"14","fr","Ô temps, suspends ton vol, et vous heures propices suspendez votre cours","O temps, suspends ton vol, et vous heures propices suspendez votre cours","R whpsv, vxvshqgv wrq yro, hw yrxv khxuhv surslfhv vxvshqghc yrwuh frxuv","R ivgsh, jovevhgh kiq kff, hi mixh yyxgvm sgfjlrvm vjjjhcuyc kfnut tixgj","d vqUiy, szqlqiiv dng nvx, gv qocq drcori zdusgoti zzmizcqaw npmgv apdrz","72"
"15","fr","La superstition est à la religion ce que l'astrologie est à l'astronomie","La superstition est a la religion ce que l'astrologie est a l'astronomie","Od vxshuvwlwlrq hvw d od uholjlrq fh txh o'dvwurorjlh hvw d o'dvwurqrplh","Op jostimwxkcrc vmw p cu utccjxfh ft hoh a'rmwgffrvzy hhk u o'pjnudeipxv","yh pYzosvmrmbno uia h pb mmamqrpz gy gqo e'dqugbgciqu jaq n w'hfyzvalrhi","72"
"16","fr","Le travail éloigne de nous trois grands maux: l'ennui, le vice et le besoin","Le travail eloigne de nous trois grands maux: l'ennui, le vice et le besoin","Oh wudydlo horljqh gh qrxv wurlv judqgv pdxa: o'hqqxl, oh ylfh hw oh ehvrlq","Ot kldkrco tcilvey gt eixh klrxj aupexv broa: a'vhqjz, fh kzwh tk fh qvmrxe","tp nYnmfuv piymctl vp qdlt rnerh uzraly keiu: q'eigzn, xj bqjg px qn oqirul","75"
"17","fr","Dans les champs de l'observation le hasard ne favorise que les esprits préparés","Dans les champs de l'observation le hasard ne favorise que les esprits prepares","Gdqv ohv fkdpsv gh o'revhuydwlrq oh kdvdug qh idyrulvh txh ohv hvsulwv suhsduhv","Gpem otj wkpdjv sv f'rqjyukrnlde fh wrmdgu hh urprgzmh fly otj yveicwh glherlhh","ohpD lby zzhsnf gi i'cxnuzwaugfb tl oquqda fa hquodguj cqt cpl yzmivtq lbdtquqq","79"
"18","fr","Le cœur d'une mère est un abîme au fond duquel se trouve toujours un pardon","Le coeur d'une mere est un abime au fond duquel se trouve toujours un pardon","Oh frhxu g'xqh phuh hvw xq delph dx irqg gxtxho vh wurxyh wrxmrxuv xq sdugrq","Ot tihji x'xcv ghgv yvi lh dqzgh pl zrcu xxflyo hv nudlph ifomdllv je jdguiq","vp zYprq v'dmd ricq iqv xi tdfjj hm qtru acgqrt wy ihfvat yqgtfzot zi lvdfax","75"
"19","fr","La musique exprime ce qui ne peut être dit et sur quoi il est impossible de se taire","La musique exprime ce qui ne peut etre dit et sur quoi il est impossible de se taire","Od pxvltxh hasulph fh txl qh shxw hwuh glw hw vxu txrl lo hvw lpsrvvleoh gh vh wdluh","Op dovxhoh tojuxdy ft hol cv jhjk ywgv xli vn vji kxdz co tjn lbgivhzvot uy vt kulgv","yh rYfyiqz prqycaf yp mgq zt iczd qnrb iwv zt ini vmfp rj wyz vkqtdiijcp py aa indti","84"
"20","fr","La parfaite raison fuit toute extrémité et veut qu'on soit sage avec sobriété","La parfaite raison fuit toute extremite et veut qu'on soit sage avec sobriete","Od sduidlwh udlvrq ixlw wrxwh hawuhplwh hw yhxw tx'rq vrlw vdjh dyhf vreulhwh","Op guuurcwt iulhfh ijzn wdlnh tonutdcwt vn ytln tj'fh vdzn vpxy dkvw vdslltky","ah aYdmauap qbvqtg wzfv jwbtw ppqymafwp pb iwct qz'fp gwij chni rbfi tfpisctn","77"
"21","fr","La vie est un songe et les songes ne sont que des songes","La vie est un songe et les songes ne sont que des songes","Od ylh hvw xq vrqjh hw ohv vrqjhv qh vrqw txh ghv vrqjhv","Op mch tjn xc jiqvv yw avm vdeahh ey vden tjv xhh jiqvvm","mh pYo wqz vm irzcx io efb ieilcq fq lwil rzq piv qzoixi","56"
"22","fr","Gouverner c'est prévoir et ne rien prévoir c'est courir à sa perte","Gouverner c'est prevoir et ne rien prevoir c'est courir a sa perte","Jrxyhuqhu f'hvw suhyrlu hw qh ulhq suhyrlu f'hvw frxulu d vd shuwh","Jdlphgeyu r'vmw eiyydzl hi ey uxvh sgvprxi w'hhk wrjicu p ju stinh","hfdZtcqlo u'lai cbvtfvc jc ql qrda ihsibrq u'vbq nmzhuv a az wpsvq","66"
"23","fr","Ce que l'on conçoit bien s'énonce clairement, et les mots pour le dire arrivent aisément","Ce que l'on concoit bien s'enonce clairement, et les mots pour le dire arrivent aisement","Fh txh o'rq frqfrlw elhq v'hqrqfh fodluhphqw, hw ohv prwv srxu oh gluh duulyhqw dlvhphqw","Ft hoh a'fh fdewrxk vlte m'hcfhft tfdxiypten, hi cyv bfnv efou av xlgv uugzphck ulhvghck","yp eGq q'qg bfrgliu nopm t'lqqggp rgpcfvwpvh, lc qmw klig yigr ed aiat ihdmajaq ndqmtiqn","88"
"24","fr","La vérité est rarement pure et n'est jamais simple","La verite est rarement pure et n'est jamais simple","Od yhulwh hvw uduhphqw sxuh hw q'hvw mdpdlv vlpsoh","Op myuxky hhk ldgvghck jxgv yw c'vmw yrgdxj mlbgfh","ch rYocan tqd qndfizmd qncr io m'cbi dbuork fzgtdq","50"
"25","fr","La science sans conscience n'est que ruine de l'âme","La science sans conscience n'est que ruine de l'ame","Od vflhqfh vdqv frqvflhqfh q'hvw txh uxlqh gh o'dph","Op jwltewh hrhv rfhvrzyqrv h'hhk kxt iolcv xh a'rgh","bh pYzbtlq ququ qigcuuijqx i'nqp qny rvrme ti d'quq","51"
"26","fr","Un peuple qui oublie son passé se condamne à le revivre","Un peuple qui oublie son passe se condamne a le revivre","Xq shxsoh txl rxeolh vrq sdvvh vh frqgdpqh d oh uhylyuh","Xc gyxecy tjz ixqcch hfh spjmh hv wrcuupcv u ot iyyxmlh","cm lRdcrm vzx pjmrmq qhq goszb qm qiauaamp h ic yvtrcoq","55"
"27","fr","Il n'y a pas de vent favorable pour celui qui ne sait pas où il va","Il n'y a pas de vent favorable pour celui qui ne sait pas ou il va","Lo q'b d sdv gh yhqw idyrudeoh srxu fhoxl txl qh vdlw sdv rx lo yd","La e's d erm gt myqi wuydiueav jrji whalc tjz hh hrcw erm rj zf yp","se l'T l ofu cp vdoa xbafecvzl ibze uvmqt qzq pj mquo lzb ug uj hc","66"
"28","fr","La vie est brève, l'art est long, l'occasion fugitive, l'expérience trompeuse","La vie est breve, l'art est long, l'occasion fugitive, l'experience trompeuse","Od ylh hvw euhyh, o'duw hvw orqj, o'rffdvlrq ixjlwlyh, o'hashulhqfh wurpshxvh","Op mch tjn egvph, a'rlw tjn odea, o'dtwdhziq ulalizph, a'vrstichcty wgfgstlmh","mh pYo wqz hdeli, t'quw pfb zeyl, b'fqypvfje avxthtju, e'pqimsvcmdq pdbgopstq","77"
"29","fr","Celui qui craint de souffrir souffre déjà de ce qu'il craint","Celui qui craint de souffrir souffre deja de ce qu'il craint","Fhoxl txl fudlqw gh vrxiiulu vrxiiuh ghmd gh fh tx'lo fudlqw","Ftcol flc fgrcqi uy vdlzigzl vdlzigv xhyr xh rv kx'xc wupzhw","ypgGm mtt mdvguc xa jfdittvj jfditrv ircu qu nq ib'rh rmqajb","60"
"30","fr","Rien de grand ne s'est accompli dans le monde sans passion","Rien de grand ne s'est accompli dans le monde sans passion","Ulhq gh judqg qh v'hvw dffrpsol gdqv oh prqgh vdqv sdvvlrq","Uxvh gt xldcu hh h'vmw ptwrbgfl srhv av grcuy vpem spjmlde","qrpA it drqmq fa o'qib hkbpgudq setu di icmhu aoil ohfsztl","58"
"31","fr","La destinée des nations dépend de la manière dont elles se nourrissent","La destinee des nations depend de la maniere dont elles se nourrissent","Od ghvwlqhh ghv qdwlrqv ghshqg gh od pdqlhuh grqw hoohv vh qrxuulvvhqw","Op uyvizhht uyv crnldem gtgyqs uy op duqxvlh sfhw tcfhh jy qdlluxjmhck","ch vYaqijcp mqa wiuofpt lcddcs hx aa yftrsxi qqgg pqbmc qz tfrxtoazmqn","70"
"32","fr","L'hypocrisie est un hommage que le vice rend à la vertu","L'hypocrisie est un hommage que le vice rend a la vertu","O'kbsrfulvlh hvw xq krppdjh txh oh ylfh uhqg d od yhuwx","O'wpjrricvxv yvi lh kddgdvv kxt cy yxty utex d ar phgko","z'buYhmuvcrv iiq it dfinfnf icp rr mccp rpea l hf uydqn","55"
"33","fr","La résistance à la tyrannie est l'obéissance à Dieu","La resistance a la tyrannie est l'obeissance a Dieu","Od uhvlvwdqfh d od wbudqqlh hvw o'rehlvvdqfh d Glhx","Op iyvxjndcty d ar nbgrhqxv yvi c'ietzmvpewh p Uchj","ch rYvwizcmef p wf uqdrkucx ivv p'imoljbhhil m qAzq","51"
"34","fr","Rien n'est beau que le vrai, le vrai seul est aimable","Rien n'est beau que le vrai, le vrai seul est aimable","Ulhq q'hvw ehdx txh oh yudl, oh yudl vhxo hvw dlpdeoh","Uxvh q'tjn etro tjv fh kiul, av pupz mhjc yvi rcppsfh","qrpA i'wxz ypzl ugp ia neqv, ht iohz ajcq mmv hiughsq","53"
"35","fr","Il n'est pas nécessaire d'espérer pour entreprendre ni de réussir pour persévérer","Il n'est pas necessaire d'esperer pour entreprendre ni de reussir pour perseverer","Lo q'hvw sdv qhfhvvdluh g'hvshuhu srxu hqwuhsuhqguh ql gh uhxvvlu srxu shuvhyhuhu","La e'yvi guv cvwhhjulgv x'hhgyuti jrji yqiiysgvhggv hl sv lhjjmlg gixg gyuhvphgvl","ce v'Tla idb mqiiaqzrdq t'icqdzpz avcu vcvdxvqsiqds di tt iozdqzv tdcd qrdhaitdqi","81"
"36","fr","Les révolutions sont les locomotives de l'histoire","Les revolutions sont les locomotives de l'histoire","Ohv uhyroxwlrqv vrqw ohv orfrprwlyhv gh o'klvwrluh","Otj lhkffxiziqh jiqi cyv afwrbfnlkvm gt c'blhkilgv","tpn Yzgqgvvqrjv xzcv exm bigwknugoti kp q'dmvtndti","50"
"37","fr","La confiance en soi est le secret du premier pas vers la réussite","La confiance en soi est le secret du premier pas vers la reussite","Od frqildqfh hq vrl hvw oh vhfuhw gx suhplhu sdv yhuv od uhxvvlwh","Op tiquzuqrv yq hfc hhk fh hvwutk xx eiypxvl spj phgj fd gvovhznh","vh aYpaxjcuq xi mxg gqq qn bqirpl an crvtrhh ihs zgdd qz yfiwqijq","65"
"38","fr","Mieux vaut une tête bien faite qu'une tête bien pleine","Mieux vaut une tete bien faite qu'une tete bien pleine","Plhxa ydxw xqh whwh elhq idlwh tx'xqh whwh elhq sohlqh","Pxvoa krow jey wtky exvh ipznh fl'oqt kywt schc gfhxey","yrnHi yeuc zpb lcbn qrhl iwvjy gp'qtc xnmp mbsg qdcrql","54"
"39","fr","L'amour est aveugle mais le mariage est un oculiste","L'amour est aveugle mais le mariage est un oculiste","O'dprxu hvw dyhxjoh pdlv oh pduldjh hvw xq rfxolvwh","O'pdixg vmw pmyxvcy ppzm ot duuxrah tjn xc fwxazmwt","v'hdYfo ric hibocrm ohph ja yferpau wqz bm ergorjpb","51"
"40","fr","La solitude est un état dans lequel on est rarement seul","La solitude est un etat dans lequel on est rarement seul","Od vrolwxgh hvw xq hwdw gdqv ohtxho rq hvw uduhphqw vhxo","Op jioxkogt vmw je ywpk xdcj fhflyo de yvi iuutdyqi jyxa","vh rYzyynop zdi cb lrhm bngf zcgfqt cy lav pivcafcv exzr","56"
"41","fr","La jeunesse croit le bonheur facile; la vieillesse sait que c'est l'espoir qui tient","La jeunesse croit le bonheur facile; la vieillesse sait que c'est l'espoir qui tient","Od mhxqhvvh furlw oh erqkhxu idfloh; od ylhloohvvh vdlw txh f'hvw o'hvsrlu txl wlhqw","Op ayxcvmvt tlrxk fh qfhktll iptcot; cu yxvcoavmvt juli hoh r'vmw a'vmsdzl tjz nlten","ch mYeoritp ripgu nq xpqgtnt mhpvpa; ym mrecioyiap vizy tqo u'eqi o'bitfzs jwp jwptl","84"
"42","fr","La mort est un horizon, et l'horizon n'est que la limite de notre vue","La mort est un horizon, et l'horizon n'est que la limite de notre vue","Od pruw hvw xq krulcrq, hw o'krulcrq q'hvw txh od olplwh gh qrwuh yxh","Op diui vmw je brgztrc, vn o'wfllofh q'tjn tjv fd azgliv xh cfnut moh","vh vYfo aik zd blpujwm, bu i'tygqypt g'wxz gze pi dfjrvm ti wqgyp aoq","69"
"43","fr","Un peuple qui ne connaît pas son histoire est condamné à la répéter","Un peuple qui ne connait pas son histoire est condamne a la repeter","Xq shxsoh txl qh frqqdlw sdv vrq klvwrluh hvw frqgdpqh d od uhshwhu","Xc gyxecy tjz hh rfhqpzn spj mrc ycvifcut vmw rfhgpdhh p cu utgywti","cm lRdcrm qzu pj qqgwhhx jos zmm vucmigop uai qbgqhhdf a qm cppadbv","67"
"44","fr","La paix est un état pendant lequel on prépare la prochaine guerre","La paix est un etat pendant lequel on prepare la prochaine guerre","Od sdla hvw xq hwdw shqgdqw ohtxho rq suhsduh od surfkdlqh jxhuuh","Op gulm vmw je ywpk jhcuuqi cytjvf rc glherlh ar judtbdxey jjvlut","ah oYdo tic zh blzb namvqac xmgzmp it udtlequ zq ukfrapcfl tzpzia","65"
"45","fr","L'expérience est le nom que chacun donne à ses erreurs","L'experience est le nom que chacun donne a ses erreurs","O'hashulhqfh hvw oh qrp txh fkdfxq grqqh d vhv huuhxuv","O'tojhgzyqrv yvi cy qdd kxt tbdrlh gdehh p jyv tilhjim","z'pdYycqjcuv xic im nfp xfk rpquff tqdlc h pqz tivozqv","54"
"46","fr","L'audace est un droit que seule la victoire justifie","L'audace est un droit que seule la victoire justifie","O'dxgdfh hvw xq gurlw txh vhxoh od ylfwrluh mxvwlilh","O'plxdrv yvi lh ggfcw fly vtlfh ar plrkilgv dxhkcixv","r'huYtcf iqv di tmdgc gpb tgith eu quvtnfdq timrnrvi","52"
"47","fr","La noblesse d'âme est indépendante de la noblesse de sang","La noblesse d'ame est independante de la noblesse de sang","Od qreohvvh g'dph hvw lqghshqgdqwh gh od qreohvvh gh vdqj","Op eieavmvt u'upt vmw xexhevhgpenh sv fd cfvotjmh sv mdcx","vh eYloliap p'iao hir rlblqqiwhsdl gq ii mpfgoyzo sm qifr","57"
"48","fr","L'œuvre c'est le témoignage de l'auteur devant le temps","L'oeuvre c'est le temoignage de l'auteur devant le temps","O'rhxyuh f'hvw oh whprljqdjh gh o'dxwhxu ghydqw oh whpsv","O'dvoygv w'hhk fh ivgrxxhdvv xh a'rowtll gtmuqi cy wtdjv","y'fdYibc i'gqv qn dqiqriurrf iy e'pqutbt apvdoc xm zpbfi","55"
"49","fr","L'intelligence c'est la faculté de s'adapter au changement","L'intelligence c'est la faculte de s'adapter au changement","O'lqwhooljhqfh f'hvw od idfxowh gh v'dgdswhu dx fkdqjhphqw","O'xenhaccjtewh r'vmw ar zdrlfwt uy v'puusivl dj tbdcxypten","w'reYlmqmbpuzl o'qij eu bugftcp hb a'aiatvzs ik fpcmpfrwhl","58"
"50","fr","Le génie commence les beaux ouvrages mais le travail seul les achève","Le genie commence les beaux ouvrages mais le travail seul les acheve","Oh jhqlh frpphqfh ohv ehdxa rxyudjhv pdlv oh wudydlo vhxo ohv dfkhyh","Ot xyqxv wrbdyqrv fhh sydjo ixkiujtj gdxj fh iiuypzf vtlf otj ufwvph","cp rYrbx ickuufgx icq zqsvf yanprvdz zgrv fz aqvghpc jgit apb yzhgiq","68"
"51","fr","La vérité vaut bien qu'on passe quelques années sans la trouver","La verite vaut bien qu'on passe quelques annees sans la trouver","Od yhulwh ydxw elhq tx'rq sdvvh txhotxhv dqqhhv vdqv od wurxyhu","Op myuxky ypln exvh tj'fh spjmh flyoflyv pehhtj mdcj fd iiixkvl","ch rYocan whrc tqli qz'hp goszc ggqtcytq hpiloq zgmv fz vfvtnri","63"
"52","fr","Qui cherche la vérité mérite les coups de celui qui la défend","Qui cherche la verite merite les coups de celui qui la defend","Txl fkhufkh od yhulwh phulwh ohv frxsv gh fhoxl txl od ghihqg","Tjz wktiwkt cu yticwt dyuxky otj wrjgm gt tyojz kxx cu gtwyqs","bzp Pjbnvap pn mmcvcp rbfcan bpz yzoud cp zdpny jar pr mcdbsx","61"
"53","fr","Être libre ce n'est pas pouvoir faire n'importe quoi, c'est pouvoir choisir","Etre libre ce n'est pas pouvoir faire n'importe quoi, c'est pouvoir choisir","Hwuh oleuh fh q'hvw sdv srxyrlu idluh q'lpsruwh txrl, f'hvw srxyrlu fkrlvlu","Hiiy oxslh rv h'hhk jdh gixkfcu urcut e'cpeflwt horx, t'yvi gixkfcu ryilhzl","cvrQ vtysq uq q'izq nvq nfdmrgm apaum a'ltlphgy bqcr, v'upv idmnurg vactqtj","75"
"54","fr","Quand le sage désigne la lune, l'idiot regarde le doigt","Quand le sage designe la lune, l'idiot regarde le doigt","Txdqg oh vdjh ghvljqh od oxqh, o'lglrw uhjdugh oh grljw","Tjrhg av mdvv xhhzaqt cu ojey, o'xucri iyjpixh av xrxxn","qzePu od iriq fieqjap zx mcyl, m'rvyac uvrhezv rq iwrur","55"
"55","fr","Connais-toi toi-même et tu connaîtras l'univers et les dieux","Connais-toi toi-meme et tu connaitras l'univers et les dieux","Frqqdlv-wrl wrl-phph hw wx frqqdlwudv o'xqlyhuv hw ohv glhxa","Fdehdxj-nrx kil-bvgh tk nx rfhqpznupj f'xczphgj yw avm gxvoa","qfrGlwf-zvr kun-dtiw pu qn qrgwhhxjga z'hmdrjcq zo erb iydie","60"
"56","fr","Il n'est de bonheur que dans l'oubli des peines passées","Il n'est de bonheur que dans l'oubli des peines passees","Lo q'hvw gh erqkhxu txh gdqv o'rxeol ghv shlqhv sdvvhhv","La e'yvi uy edebhji kxt uuqh c'ixqcc gtj jhxeyv ermvtvm","ce v'Tlc ia kfzllnq vap qrav x'mmxpr mzd zcrlql oiuopii","55"
"57","fr","On reconnaît l'arbre à ses fruits et l'homme à ses actes","On reconnait l'arbre a ses fruits et l'homme a ses actes","Rq uhfrqqdlw o'dueuh d vhv iuxlwv hw o'krpph d vhv dfwhv","Rc iyfdehdxk f'dgslh p jyv uiolij yw a'yipbv u vtj ufivm","cm fUvqglgrd f'ntfsc h aqz yivcve tz v'bcakp h iai zovgi","56"
"58","fr","La fortune sourit aux audacieux qui osent saisir leurs chances","La fortune sourit aux audacieux qui osent saisir leurs chances","Od iruwxqh vrxulw dxa dxgdflhxa txl rvhqw vdlvlu ohxuv fkdqfhv","Op wiuilhh hfouxk uxm rogptchjo kxx fmhck mdxjcu avouh tbdctyv","vh vYbqaty qrqgaa nyo hrumdpnzr qyo rgomr qnmfzy eqaik apcmfpi","62"
"59","fr","Ce qui compte n'est pas la tempête mais comment tu danses sous la pluie","Ce qui compte n'est pas la tempete mais comment tu danses sous la pluie","Fh txl frpswh q'hvw sdv od whpshwh pdlv frpphqw wx gdqvhv vrxv od soxlh","Ft hol rfgsiv h'hhk jdh cu wtdjhiv gdxj wrbdyqi ko gpemhh jixh cu salch","yp uGq dtgqvq s'izq naq pf mzbfdvr qibf zckvufy xn ohqdlv qzaq er mmstq","71"
"60","fr","La grâce est donnée à tous mais la sagesse s'acquiert","La grace est donnee a tous mais la sagesse s'acquiert","Od judfh hvw grqqhh d wrxv pdlv od vdjhvvh v'dftxlhuw","Op xldrv yvi uiqcvy d ifov brcv ar mdvvmvt j'ufflchgk","th uYrcf ivv miacxi y vkfg miuo ei iuofiap g'izmgtdqn","53"
"61","fr","La vie est un voyage et ceux qui voyagent trop vite ne voient rien","La vie est un voyage et ceux qui voyagent trop vite ne voient rien","Od ylh hvw xq yrbdjh hw fhxa txl yrbdjhqw wurs ylwh qh yrlhqw ulhq","Op mch tjn xc mibpxy hi tyxm hol kfsdvvhw iiis kznh cv prxvhw gzyq","mh pYo wqz vm hrockr cv oqpy rqs nitgqfiv vnbv wsjh mr qiquic dbjx","66"
"62","fr","Dis-moi ce que tu manges, je te dirai ce que tu es","Dis-moi ce que tu manges, je te dirai ce que tu es","Glv-prl fh txh wx pdqjhv, mh wh gludl fh txh wx hv","Gxj-grx ty tjv nx brhjtj, dh iv xlgrc ft hoh il yv","drr-Dzc up wzk pi qrufpv, zz rq imdpt uy gqc vq ti","50"
"63","fr","Les larmes sont le langage silencieux de la douleur","Les larmes sont le langage silencieux de la douleur","Ohv oduphv vrqw oh odqjdjh vlohqflhxa gh od grxohxu","Otj fdgdyv hfhw av fdcxujt jcotewltlr gt cu gdlfhji","gpd Yzcffq qeig gb iampfrm zzbppylutt ap fd mgdtzqv","51"
"64","fr","Sans la liberté de blâmer, il n'est point d'éloge flatteur","Sans la liberte de blamer, il n'est point d'eloge flatteur","Vdqv od olehuwh gh eodphu, lo q'hvw srlqw g'horjh iodwwhxu","Vpem op ccetinh sv vopdyu, xc h'hhk jrxen g'tcijt wfdikyxg","ohhI lm ymwpslv iq ichryf, qa m'zqr qnwul v'ppdmg zbcvdfnr","58"
"65","fr","La fidélité est la vertu qui nous coûte le plus cher","La fidelite est la vertu qui nous coute le plus cher","Od ilgholwh hvw od yhuwx txl qrxv frxwh oh soxv fkhu","Op wcgtccwt vmw ar phgko tjz hrjj wrjky ot gfxh tbhg","mh pYbmdmop ebi hb uydzq nqp jbzz uzcun gp qydk rpdq","52"
"66","fr","Un sourire coûte moins cher que l'électricité mais donne autant de lumière","Un sourire coute moins cher que l'electricite mais donne autant de lumiere","Xq vrxuluh frxwh prlqv fkhu txh o'hohfwulflwh pdlv grqqh dxwdqw gh oxplhuh","Xc jixgzlh rfowt dilcj wkti kxt c'yottnuxtcwt dulh uiqcv uxirhw sv fxbzyut","vm dRztrjy upqgv bfbmp tznn vcp p'rmwypmrpapa bfvq mtaax iqvsru gb ickprja","74"
"67","fr","Qui cherche ne trouve pas toujours ce qu'il cherche","Qui cherche ne trouve pas toujours ce qu'il cherche","Txl fkhufkh qh wurxyh sdv wrxmrxuv fh tx'lo fkhufkh","Tjz wktiwkt ey wgfoyt guv ifomdllv rv kx'xc wktiwkt","bzp Pjbnvcp dn lybgap vcd yigtfuot ni ib'rp rmbnvpn","51"
"68","fr","L'ennui est la conviction que tout finit par se ressembler","L'ennui est la conviction que tout finit par se ressembler","O'hqqxl hvw od frqylfwlrq txh wrxw ilqlw sdu vh uhvvhpeohu","O'tehxx vmw ar wrcmcfiziq fly wdln ixecw erl vt iyvhvgeavl","q'prYlo rib em bumuovvggj cxt wfrb tmvlt lpb uc ivdqeiitli","58"
"69","fr","La nuit obscurcit toutes les couleurs et fait dormir toutes les passions","La nuit obscurcit toutes les couleurs et fait dormir toutes les passions","Od qxlw revfxuflw wrxwhv ohv frxohxuv hw idlw gruplu wrxwhv ohv sdvvlrqv","Op eoli fvvrllfxk nrjkyv avm fdlfhjim hi wuli uiubzl wdlnhh cyv ermvxfhv","yh vYli tgturitwg nczeun oii gfzgtoqv av vqbv tatkfa jwbtcq lqm oiuqrigi","72"
